lake_id,arc1,arc2,arc3,arc4
2250088893,0.0,1.4392318e-16,1.0,0.0
2260001413,0.0,5.764004e-10,1.0,0.0
2260031472,0.0,1.7369197e-21,1.0,0.0
2260031502,0.0,0.0,1.0,0.0
2260033822,0.5,1.8335998e-20,6.542073e-27,0.5
2270004543,3.4098516e-16,7.927218e-09,1.0,9.277735e-11
2270044463,0.0,0.0,1.0,0.0
2270044473,0.0,0.0,1.0,0.0
2270060992,0.0,0.0,1.0,0.0
2270067462,0.0,0.0,1.0,0.0
2270102272,0.0,0.0,1.0,0.0
2270104842,0.0,0.0,1.0,0.0
2270128153,0.0,0.0,1.0,0.0
2270136762,0.0,1.0,2.4224356e-22,0.0
2270139412,1.6267464e-26,1.0,5.6e-44,2.7613155e-26
2270141422,1.3177544e-29,1.0,2.1668792e-24,1e-45
2280004602,1.1077016e-15,1.7404917e-17,1.0,1.17674065e-26
2280007082,0.0,7e-44,1.0,0.0
2280007672,0.0,0.0,1.0,0.0
2310000023,0.0,1.1693929e-11,1.0,0.0
2310000033,0.0,0.0,1.0,0.0
2310000123,8.095108e-16,3.452391e-33,0.6666667,0.33333334
2310000133,0.0,0.0,1.0,0.0
2310000143,2.1988823e-26,6.6433565e-09,1.0,6.737745e-14
2310015232,0.0,0.0,1.0,0.0
2310020152,6.701825e-34,7.254432e-16,1.0,2.8821638e-28
2310028243,0.0,0.0,1.0,0.0
2310028273,0.0,0.0,1.0,0.0
2310028773,3.6e-44,1.2139018e-35,1.0,0.0
2320004122,0.0,0.0,0.0,1.0
2320145113,0.0,0.0,1.0,0.0
2320145123,0.0,2.1e-44,1.0,0.0
2320145143,0.0,7.1567815e-18,1.0,1.4538212e-34
2320145153,0.0,1.01e-43,1.0,0.0
2320145163,0.0,5.6152992e-14,1.0,0.0
2320145183,0.0,3.8529306e-29,1.0,0.0
2320145942,0.0,1.0,0.0,0.0
2320146452,0.0,3.796125e-22,1.0,0.0
2320148232,0.0,0.0,1.0,0.0
2320200622,1.2725788e-33,1.0,9.555471e-31,0.0
2320253402,0.0,4.454623e-06,0.9999956,0.0
2320269562,0.0,0.0,1.0,0.0
2330001913,0.0,0.0,1.0,0.0
2330041242,0.0,4.8888268e-12,1.0,7.8679e-41
2330042812,0.0,1.5853836e-31,1.0,0.0
2330047972,0.0,0.0,1.0,0.0
2330048832,0.0,0.0,1.0,0.0
2330055852,0.0,1.7721201e-10,1.0,0.0
2330073342,4.655e-42,0.5,0.5,0.0
2340000023,0.0,7.863864e-21,1.0,0.0
2340009563,0.0,0.0,1.0,0.0
2340009603,0.0,2.409429e-05,0.9999759,5.550449e-25
2340009632,0.0,0.0,1.0,0.0
2340009652,1.598166e-20,2.6895253e-12,1.0,9.65829e-13
2410000012,1.0,0.0,0.0,6.851893e-25
2410001812,0.0,0.0003515026,0.99964845,0.0
2420056132,1.0,0.0,0.0,2.1734954e-30
2420056183,0.0,2.3443416e-28,1.0,0.0
2420103152,0.0,1.7397334e-16,1.0,0.0
2420108252,1.0,0.0,0.0,0.0
2420109812,0.0,0.0,1.0,0.0
2420114672,0.0,3e-45,1.0,0.0
2420124262,0.0,4.228142e-39,1.0,0.0
2420124352,0.0,4.0756347e-13,1.0,0.0
2420148343,0.0,1.576e-42,1.0,0.0
2420169883,0.0,0.0007189362,0.99928105,0.0
2420171232,0.0,2.86e-42,1.0,0.0
2420183212,0.0,0.0,1.0,0.0
2420190622,0.0,7.336874e-26,1.0,0.0
2420198012,0.0,1.8155964e-17,1.0,0.0
2420198232,0.0,5.436409e-38,1.0,0.0
2420200012,0.0,2.410185e-15,1.0,0.0
2420211152,0.0,4.815722e-19,1.0,0.0
2420211453,0.0,2.5e-44,0.0,1.0
2420211463,0.0,3.8576574e-26,1.0,0.0
2420211473,0.0,1.5615876e-17,1.0,0.0
2420211493,3.8239694e-31,4.2019135e-21,1.0,0.0
2420212722,0.0,1.3166475e-06,0.9999987,0.0
2420216142,0.0,8.54198e-15,1.0,0.0
2420223932,0.0,3.6982746e-23,1.0,0.0
2420224842,0.0,0.00033725845,0.99966276,0.0
2420247492,0.0,2.042521e-13,1.0,0.0
2430002252,0.0,0.0,1.0,0.0
2430007562,0.0,0.0,1.0,0.0
2430013653,0.0,0.0,1.0,0.0
2430018852,0.0,0.0,1.0,0.0
2430022262,0.0,7.6638006e-17,1.0,0.0
2430032542,0.0,0.0,1.0,0.0
2430032782,0.0,5.8432656e-14,1.0,0.0
2430039872,0.0,2.99733e-27,1.0,0.0
2430040072,0.0,1.4353309e-07,0.9999999,0.0
2430049102,0.0,1.1638962e-32,1.0,1.3525535e-33
2430049112,0.0,0.0,1.0,0.0
2430049822,0.0,2.3197809e-27,1.0,0.0
2430050912,0.0,0.0,1.0,0.0
2430051262,0.0,1.0,6.3416306e-18,0.0
2430051352,0.0,6.6522e-41,1.0,0.0
2430052952,0.0,1.9083676e-31,1.0,0.0
2430057462,0.0,5.66328e-40,1.0,0.0
2430057482,0.0,3.424204e-38,1.0,0.0
2430073032,0.0,0.0,1.0,0.0
2430082632,0.0,1.608505e-12,1.0,0.0
2430089002,0.0,4.700806e-09,1.0,0.0
2430089012,0.0,1.5e-44,1.0,0.0
2430089022,0.0,0.0,1.0,0.0
2430090182,0.0,0.0,1.0,0.0
2430090663,0.0,1.0186036e-38,1.0,0.0
2430092802,0.0,0.0,1.0,0.0
2430094883,0.0,0.0,1.0,3.8698023e-08
2430096262,0.0,0.0,1.0,0.0
2430107363,0.0,4.27473e-40,1.0,0.0
2430107373,0.0,0.5,0.5,0.0
2430109252,0.0,0.0,1.0,0.0
2430120303,0.0,1.0,0.0,0.0
2430120723,0.0,0.5,0.5,0.0
2430120922,0.0,0.0,1.0,0.0
2430120932,0.0,0.0,1.0,0.0
2430130682,0.0,5.052799e-26,1.0,0.0
2430132242,0.0,0.19999897,0.800001,1.2415164e-27
2430149483,0.0,1.3765306e-10,0.9000001,0.10000001
2430149653,0.0,0.0,1.0,0.0
2430149783,0.0,0.0,1.0,0.0
2430149842,0.0,0.0,1.0,0.0
2430152152,0.0,1.1483848e-25,1.0,0.0
2430156432,0.0,1.4056444e-27,0.9999998,1.7476096e-07
2430156902,0.0,0.0,1.0,0.0
2430166882,0.0,2.157e-42,1.0,1.9644451e-21
2430175082,0.0,0.0,1.0,0.0
2430180142,0.0,1.2154838e-32,1.0,0.0
2430182622,0.0,3.6971043e-17,1.0,0.0
2430182692,0.0,0.0,1.0,0.0
2430185162,0.0,1.0879747e-09,1.0,0.0
2430186442,0.0,9.980838e-07,0.99999905,0.0
2430190002,0.0,1.0419398e-35,1.0,0.0
2430195222,0.0,0.0,1.0,0.0
2430201522,0.0,0.0,1.0,0.0
2430215162,0.0,3.6299946e-22,1.0,0.0
2430215172,0.0,0.0,1.0,0.0
2430215182,0.0,1.2132122e-18,1.0,0.0
2430215192,0.0,1.1041941e-22,1.0,0.0
2430215202,0.0,6.7926225e-09,1.0,0.0
2430215282,0.0,0.0,1.0,0.0
2430217572,0.0,1.2228727e-19,1.0,0.0
2430217602,0.0,1.226423e-37,1.0,0.0
2430218272,0.0,2.0227157e-15,1.0,0.0
2430219282,0.0,0.0,1.0,0.0
2430219322,0.0,0.0,1.0,0.0
2430219873,0.0,2.8630544e-12,1.0,0.0
2430219882,0.0,0.0,1.0,0.0
2430219902,0.0,0.0,1.0,0.0
2430224112,0.0,0.0,1.0,0.0
2430227292,0.0,0.0,0.0,1.0
2430231332,0.0,0.0,1.0,2.2017242e-17
2430231562,0.0,0.0,1.0,0.0
2430231573,0.0,1.315547e-12,0.75,0.25
2430231583,0.0,0.0,1.0,0.0
2430232482,0.0,0.0,1.0,0.0
2430235743,1.4515154e-18,0.99999994,6.566965e-08,2.696318e-16
2430269672,0.0,0.008080071,0.9919199,0.0
2430269732,0.0,2.31e-43,1.0,0.0
2430269883,0.0,0.0,1.8666275e-24,1.0
2430270323,0.0,2.672e-42,1.0,0.0
2430276873,0.0,0.0,0.5,0.5
2430279392,0.0,0.0,1.0,0.0
2430281272,0.0,0.0,1.0,0.0
2430281712,0.0,2.10335e-28,1.0,0.0
2430281932,0.0,1.5036091e-33,0.5,0.5
2430301672,0.0,0.0,1.0,0.0
2430304182,0.0,0.0,1.0,0.0
2430306733,0.0,7.621045e-12,1.0,0.0
2430308852,0.0,1.06354044e-20,1.0,0.0
2430314662,0.0,0.0,1.0,0.0
2430314822,0.0,0.0,1.0,0.0
2430315203,0.0,2.1638374e-38,1.0,0.0
2430315713,0.0,0.0,1.0,0.0
2430323663,0.0,2.289475e-12,1.0,0.0
2430340143,0.0,1.4246413e-12,1.0,1.05807154e-16
2430340702,0.0,0.0,1.0,0.0
2430341053,0.0,4.8641643e-28,1.0,0.0
2430341733,0.0,0.0,1.0,0.0
2430341843,0.0,0.0,1.0,0.0
2430360692,0.0,3.55179e-40,1.0,0.0
2430367792,0.0,4.93675e-18,1.0,4.2101662e-38
2430368042,0.0,3.2191394e-33,1.0,0.0
2430368102,0.0,1.0618485e-18,1.0,0.0
2430369432,0.0,1.8959662e-15,1.0,0.0
2430369582,0.0,1.3719597e-19,1.0,0.0
2430374052,0.0,0.0,1.0,0.0
2430377953,0.0,0.0,1.0,0.0
2430378782,0.0,6.313098e-16,1.0,0.0
2430382423,0.0,0.0,1.0,0.0
2430382503,0.0,0.002997267,0.9970028,0.0
2430382882,0.0,4.3355405e-20,1.0,0.0
2430394522,0.0,1.0,4.7874948e-27,1.038e-42
2430401062,0.0,0.0,1.0,0.0
2430401782,0.0,8.643e-42,1.0,0.0
2430411422,0.0,4.0576316e-17,1.0,0.0
2430413382,0.0,0.0,1.0,0.0
2430432123,0.0,4.573538e-26,0.8000001,0.2
2430432293,0.0,0.99999905,9.260242e-07,0.0
2430434302,0.0,0.0,1.0,0.0
2430440632,0.0,0.0,1.0,0.0
2430440642,1.5833737e-35,1.0,1.2614988e-21,1.393554e-27
2430440752,0.0,0.0,1.0,0.0
2430440772,3e-45,1.0,2.540935e-39,0.0
2430440782,0.0,0.0,1.0,0.0
2430440872,0.0,0.0,1.0,0.0
2430441233,0.0,0.0,1.0,0.0
2430455603,0.0,0.99999714,2.8763886e-06,0.0
2430455613,0.0,0.0,1.0,0.0
2440001572,4.63156e-40,1.0,2.6191769e-30,0.0
2440003262,0.0,0.0,1.0,0.0
2440022142,0.0,2.7583324e-38,1.0,0.0
2440022282,0.0,6e-45,1.0,0.0
2440022513,0.0,4.117685e-17,1.0,0.0
2440038652,0.0,8.47473e-15,1.0,0.0
2440044402,0.0,0.0,1.0,0.0
2440048592,0.0,0.0,1.0,0.0
